Date,Open,High,Low,Close,Adj Close,Volume
2016-03-31,143.202682,146.367111,142.791580,144.789673,104.016319,7092508
2016-04-01,143.891006,146.233276,143.642441,145.812622,104.751198,4106073
2016-04-04,145.640533,146.768646,145.229446,145.382416,104.442131,4112035
2016-04-05,144.770554,144.933075,143.068832,143.403442,103.020439,3490502
2016-04-06,143.307846,143.546844,141.309753,143.422562,103.034195,4387552
2016-04-07,142.514343,143.021027,141.491394,141.730408,101.818542,3831498
2016-04-08,142.504776,143.393875,141.606125,142.782028,102.574013,3445315
2016-04-11,143.652008,145.267685,142.657745,142.686417,102.505348,4023021
2016-04-12,143.030594,143.508606,142.045883,143.049713,102.766357,3761207
2016-04-13,144.120453,144.579346,143.049713,144.579346,103.865211,3314146
2016-04-14,144.837479,146.042068,143.766724,144.512421,103.817146,3322619
2016-04-15,144.397705,145.411087,144.321228,145.047806,104.201752,3825850
2016-04-18,145.047806,146.405350,144.827911,145.822174,104.758064,6884458
2016-04-19,140.028687,140.487579,136.338425,137.667297,98.899643,13796949
2016-04-20,137.896744,140.726578,137.667297,139.684509,100.348801,7064998
2016-04-21,140.133850,143.518158,140.019119,142.734222,102.539680,6294514
2016-04-22,142.868073,144.359467,141.013382,141.969406,101.990250,5430727
2016-04-25,141.644363,142.351822,140.640533,142.265778,102.203140,2979949
2016-04-26,142.112808,143.202682,141.395798,142.523895,102.388611,3116871
2016-04-27,142.782028,144.149139,142.418732,143.852768,103.343254,3254315
2016-04-28,143.164429,143.575531,140.277252,140.602295,101.008118,3965909
2016-04-29,140.047806,140.860428,137.848953,139.521988,100.232040,4420187
2016-05-02,140.114716,140.535370,138.078400,138.881454,99.771873,3663510
2016-05-03,138.288712,138.527725,136.615677,137.791580,98.988930,3749178
2016-05-04,137.055450,138.623322,137.007645,137.906311,99.071335,2695647
2016-05-05,139.531555,140.822174,139.053543,140.028687,100.596062,6800255
2016-05-06,138.489487,141.462708,138.116638,140.812622,102.135429,5121007
2016-05-09,141.204590,141.682602,140.544937,140.860428,102.170143,4500310
2016-05-10,141.720840,143.441681,141.242828,143.374756,103.993851,4176364
2016-05-11,143.126190,144.445511,142.198853,142.399612,103.286545,3235278
2016-05-12,142.648178,142.820267,140.640533,142.294449,103.210289,3398663
2016-05-13,142.246658,143.269592,140.936905,141.223709,102.433617,2508308
2016-05-16,141.156784,143.393875,140.956024,142.887192,103.640205,3210279
2016-05-17,142.648178,142.925430,140.812622,141.491394,102.627785,3651168
2016-05-18,141.481842,141.988525,139.923523,140.860428,102.170143,2605691
2016-05-19,140.038239,140.468445,137.629059,138.556412,100.498947,3855138
2016-05-20,139.302109,141.022949,139.149139,140.774384,102.107727,3840389
2016-05-23,141.118546,141.443588,140.210327,140.315491,101.774879,2200575
2016-05-24,140.420654,142.208420,140.420654,141.787766,102.842751,3064048
2016-05-25,142.380493,145.401535,141.969406,145.019119,105.186569,4555644
2016-05-26,144.885284,145.803055,144.407272,145.736145,105.706657,3203793
2016-05-27,145.650101,146.204590,145.458893,146.118546,105.983986,2570127
2016-05-31,145.850861,147.045883,145.573608,146.978973,106.608093,6105084
2016-06-01,146.271515,146.529633,144.875717,145.803055,105.755157,2785916
2016-06-02,145.879547,146.749527,145.430206,146.749527,106.441658,2764160
2016-06-03,145.697891,146.309753,145.028687,146.166351,106.018684,2435402
2016-06-06,146.357559,147.179733,145.640533,146.013382,105.907715,2488120
2016-06-07,146.567871,147.160614,145.946457,146.587006,106.323776,4670390
2016-06-08,146.778198,147.313583,146.309753,147.227539,106.788368,3070010
2016-06-09,146.195023,146.998093,146.013382,146.673035,106.386185,2114803
2016-06-10,146.070740,146.587006,145.181641,145.669220,105.658119,3264148
2016-06-13,144.961761,145.793503,143.671127,144.627151,104.902237,3776478
2016-06-14,144.627151,145.114716,143.785858,144.416824,104.749695,2997627
2016-06-15,144.799240,145.114716,143.977051,144.053543,104.486191,2364378
2016-06-16,143.585083,144.636703,142.447418,144.416824,104.749695,2561759
2016-06-17,144.321228,146.003830,143.977051,145.305923,105.394577,4878439
2016-06-20,145.889099,147.868073,145.812622,146.854691,106.517952,3736417
2016-06-21,147.380493,147.772461,146.931168,147.275330,106.823044,2887274
2016-06-22,146.988525,147.906311,145.573608,146.195023,106.039444,2964050
2016-06-23,146.701721,148.642441,145.889099,148.518158,107.724510,4151992
2016-06-24,143.374756,143.986618,139.751434,140.143402,101.650047,9500609
2016-06-27,139.751434,140.152969,136.233276,137.189301,99.507332,5248723
2016-06-28,138.412994,139.321228,137.877625,139.292542,101.032913,4181594
2016-06-29,140.057358,141.950287,140.009567,141.931168,102.946770,3522614
2016-06-30,142.313583,145.229446,142.131927,145.105164,105.248970,4149587
2016-07-01,145.105164,146.242828,144.741867,145.650101,105.644218,2780582
2016-07-05,144.541107,145.315491,144.130020,145.009567,105.179649,2578599
2016-07-06,145.172089,145.707458,143.326965,145.669220,105.658119,2687592
2016-07-07,146.032501,146.931168,145.210327,145.889099,105.817558,2236766
2016-07-08,147.227539,147.801147,146.347992,147.667297,107.107338,3180468
2016-07-11,147.801147,149.177826,147.705551,148.499039,107.710648,2964050
2016-07-12,149.139572,150.210327,148.680695,150.133850,108.896446,4020615
2016-07-13,150.812622,151.376678,150.152969,151.070740,109.575974,2872734
2016-07-14,151.826004,154.302109,151.606125,153.231354,111.143112,4850930
2016-07-15,152.868073,152.944550,151.529633,152.753342,110.796410,4682733
2016-07-18,152.294449,153.680695,151.749527,152.829834,110.851875,7039266
2016-07-19,154.665390,155.009567,150.946457,152.562134,110.657730,7447520
2016-07-20,152.934998,154.598465,152.581268,154.263855,111.892021,4577610
2016-07-21,153.680695,154.732315,152.858505,153.393875,111.261009,3680769
2016-07-22,153.709366,155.038239,153.422562,154.942642,112.384369,2636025
2016-07-25,154.875717,155.717010,154.636703,155.497131,112.786560,2933612
2016-07-26,155.497131,156.405350,154.273422,154.990433,112.419044,3027752
2016-07-27,154.990433,155.420654,154.091782,154.713196,112.217949,2262184
2016-07-28,154.282990,154.694077,153.642441,154.273422,111.898949,2448058
2016-07-29,154.263855,154.560226,152.992355,153.556412,111.378883,3710685
2016-08-01,153.585083,154.541107,152.810699,154.349899,111.954445,2953486
2016-08-02,154.177826,154.349899,153.307846,153.518158,111.351173,3222621
2016-08-03,153.087952,153.785858,152.772461,153.604202,111.413551,2993338
2016-08-04,153.785858,154.588913,153.078400,154.445511,112.023796,2603599
2016-08-05,154.875717,156.319305,154.464630,156.309753,113.375961,3987770
2016-08-08,155.573608,156.089859,154.474182,154.913956,113.334023,3179108
2016-08-09,155.086044,155.611862,154.541107,154.655838,113.145180,2863425
2016-08-10,155.057358,155.506699,154.837479,154.952194,113.361961,2580168
2016-08-11,155.114716,157.695984,155.047806,156.338425,114.376137,9171956
2016-08-12,156.013382,156.271515,154.416824,154.827911,113.271049,2660083
2016-08-15,155.258133,155.803055,154.665390,154.761002,113.222092,3107038
2016-08-16,154.024857,154.808792,153.623322,153.632889,112.396805,2311869
2016-08-17,153.891006,154.072662,152.810699,153.384323,112.214935,3374291
2016-08-18,153.814529,154.875717,153.384323,154.263855,112.858414,3819992
2016-08-19,153.766724,153.833649,152.504776,153.001907,111.935196,2944699
2016-08-22,152.963669,153.508606,152.131927,152.963669,111.907196,2133108
2016-08-23,153.279160,154.244736,153.183563,153.212234,112.089043,2968653
2016-08-24,152.858505,153.135757,151.357559,152.055450,111.242729,3813507
2016-08-25,152.007645,152.523895,151.453156,151.653915,110.948959,2693450
2016-08-26,151.892929,153.384323,150.908218,151.357559,110.732193,2613849
2016-08-29,151.845123,153.164429,151.529633,152.695984,111.711349,2589791
2016-08-30,152.734222,153.107071,151.826004,152.390060,111.487534,1896712
2016-08-31,152.638626,152.638626,151.300186,151.892929,111.123848,2430486
2016-09-01,151.357559,152.600388,151.147232,152.523895,111.585449,2466886
2016-09-02,152.848953,153.508606,152.151047,152.533463,111.592445,2421908
2016-09-06,152.848953,153.785858,152.112808,153.298279,112.151985,3131829
2016-09-07,153.145309,154.646271,152.963669,154.531555,113.054253,2999196
2016-09-08,153.489487,154.120453,151.778198,152.007645,111.207741,4145507
2016-09-09,151.080307,151.434036,148.804977,148.843216,108.892700,5424556
2016-09-12,148.432129,151.558319,148.030594,151.328873,110.711174,4568405
2016-09-13,150.697891,150.984711,148.661575,148.957932,108.976608,3803988
2016-09-14,148.852768,149.015289,146.644363,147.275330,107.745636,4038188
2016-09-15,147.514343,149.455063,146.472275,148.814529,108.871689,3813298
2016-09-16,148.221802,148.565964,146.720840,147.074570,107.598724,6760926
2016-09-19,148.059280,149.321228,147.753342,148.059280,108.319176,2562805
2016-09-20,149.015289,149.684509,147.657745,147.657745,108.025406,2258419
2016-09-21,148.097519,148.833649,147.103256,148.690247,108.780762,2587699
2016-09-22,149.282990,150.305923,148.843216,149.244736,109.186417,2814891
2016-09-23,148.776291,149.177826,147.906311,148.164429,108.396080,2826501
2016-09-26,147.667297,147.667297,146.711288,147.208420,107.696663,2649832
2016-09-27,147.533463,149.875717,147.045883,149.875717,109.648071,3124611
2016-09-28,150.086044,151.653915,149.359467,151.328873,110.711174,3462260
2016-09-29,151.653915,157.743790,150.535370,151.156784,110.585304,3530041
2016-09-30,151.912048,152.810699,151.108994,151.864243,111.102875,3762357
2016-10-03,151.108994,151.405350,150.114716,150.678772,110.235573,2330279
2016-10-04,150.736145,151.558319,148.967499,149.579346,109.431221,3016769
2016-10-05,150.162521,150.889099,149.827911,150.172089,109.864861,1761987
2016-10-06,149.942642,150.506699,149.034424,149.980881,109.724998,2039805
2016-10-07,150.229446,150.764816,148.049713,148.824097,108.878700,2794807
2016-10-10,149.818359,151.520081,149.770554,150.114716,109.822906,2595440
2016-10-11,149.837479,150.047806,147.122375,147.982788,108.263199,3034760
2016-10-12,148.154877,148.154877,146.347992,147.504776,107.913490,3100344
2016-10-13,146.940720,147.437866,145.573608,146.959854,107.514847,3043755
2016-10-14,147.676865,148.690247,147.313583,147.657745,108.025406,4558677
2016-10-17,147.657745,149.034424,147.552582,147.963669,108.249237,6161358
2016-10-18,143.422562,144.359467,141.290634,144.091782,105.416557,13358048
2016-10-19,144.617584,145.745697,144.196945,144.608032,105.794266,4846013
2016-10-20,144.627151,146.175903,144.378586,144.856598,105.976120,4208163
2016-10-21,143.957932,144.502869,142.982788,143.049713,104.654213,4617253
2016-10-24,143.785858,144.856598,143.785858,143.948380,105.311691,2789368
2016-10-25,143.948380,144.512421,143.240921,144.244736,105.528473,2769285
2016-10-26,144.082214,146.214142,143.652008,145.133850,106.178963,2941038
2016-10-27,146.099426,147.284897,145.334610,146.606125,107.256027,4423848
2016-10-28,147.275330,147.648178,145.487579,145.898666,106.738464,3822607
2016-10-31,146.042068,147.543015,146.042068,146.931168,107.493851,3716647
2016-11-01,146.749527,147.141495,145.066925,146.070740,106.864372,3338727
2016-11-02,145.774384,146.606125,145.000000,145.267685,106.276863,3215822
2016-11-03,145.803055,146.978973,145.124283,145.669220,106.570633,3011225
2016-11-04,145.697891,146.883362,145.191208,145.726578,106.612572,2584038
2016-11-07,147.217972,149.244736,147.074570,148.871887,108.913696,3979925
2016-11-08,147.762909,149.072662,146.328873,148.346085,109.513580,4102307
2016-11-09,146.233276,148.718933,144.359467,148.001907,109.259499,5652270
2016-11-10,150.726578,154.072662,150.659653,153.173996,113.077698,8070727
2016-11-11,152.934998,154.244736,152.323135,154.177826,113.818726,4651144
2016-11-14,154.158707,154.741867,150.650101,151.252396,111.659096,5435539
2016-11-15,151.453156,152.151047,150.621414,151.692154,111.983742,3636942
2016-11-16,151.491394,152.533463,151.080307,152.284897,112.421310,2356429
2016-11-17,152.217972,152.896744,151.864243,152.772461,112.781250,2365215
2016-11-18,152.772461,153.652008,152.208420,153.336517,113.197639,3118754
2016-11-21,153.623322,155.831741,153.317398,155.611862,114.877396,4850407
2016-11-22,155.831741,155.831741,154.827911,155.516251,114.806801,2898257
2016-11-23,154.818359,155.238998,154.263855,154.856598,114.319847,2356324
2016-11-25,154.713196,156.013382,154.713196,155.965576,115.138519,1679144
2016-11-28,156.022949,157.418732,155.544937,157.284897,116.112457,4654072
2016-11-29,156.787766,157.179733,155.860428,156.338425,115.413773,3293017
2016-11-30,156.166351,156.596558,155.076477,155.086044,114.489212,4600099
2016-12-01,154.827911,155.066925,151.338425,152.791580,112.795364,4848942
2016-12-02,152.007645,153.240921,151.443588,152.982788,112.936516,2866981
2016-12-05,153.776291,154.063095,152.571701,152.810699,112.809509,3605667
2016-12-06,153.087952,153.718933,151.940720,153.298279,113.169434,2990514
2016-12-07,153.537292,157.915863,153.336517,157.543015,116.303040,4639115
2016-12-08,157.619507,158.699814,156.998093,158.087952,116.705322,3416654
2016-12-09,157.915863,159.388138,157.361374,159.196945,117.524048,3291657
2016-12-12,159.388138,159.455063,157.810699,158.221802,116.804161,3548346
2016-12-13,158.393875,162.476105,158.393875,160.889099,118.773209,6205186
2016-12-14,160.965576,162.418732,160.086044,161.099426,118.928474,4313913
2016-12-15,160.621414,162.380493,160.401535,160.630981,118.582672,3544476
2016-12-16,161.539200,161.673035,158.757172,159.397705,117.672218,7448148
2016-12-19,159.493301,159.904404,158.699814,159.349899,117.636902,3091871
2016-12-20,160.124283,160.850861,159.130020,160.229446,118.286224,2274632
2016-12-21,158.938812,160.554489,157.982788,159.971313,118.095665,3740182
2016-12-22,160.000000,160.831741,159.254303,159.713196,117.905136,2931520
2016-12-23,159.655838,160.124283,159.130020,159.378586,117.658096,1779455
2016-12-27,159.636703,160.592728,159.512421,159.789673,117.961571,1461785
2016-12-28,159.933075,160.363297,158.699814,158.881454,117.291122,1838345
2016-12-29,158.718933,159.646271,158.699814,159.273422,117.580452,1740021
2016-12-30,159.120453,159.369019,158.221802,158.690247,117.149971,3088629
2017-01-03,159.655838,160.487579,158.709366,159.837479,117.996849,3069278
2017-01-04,160.391968,162.399612,160.000000,161.816437,119.457802,3536944
2017-01-05,161.806885,161.940720,159.904404,161.281067,119.062576,2805686
2017-01-06,161.271515,162.447418,160.152969,162.074570,119.648346,3080993
2017-01-09,162.017212,162.332703,160.248566,160.277252,118.321548,3336635
2017-01-10,160.592728,160.697891,158.068832,158.240921,116.818222,4308160
2017-01-11,158.747604,160.382416,158.317398,160.372849,118.392090,3765077
2017-01-12,160.391968,160.621414,158.279160,160.564056,118.533226,3062165
2017-01-13,160.583176,161.070740,159.541107,159.980881,118.102722,3007668
2017-01-17,159.359467,160.783936,158.814529,160.506699,118.490898,3468222
2017-01-18,160.086044,161.175903,159.359467,159.464630,117.721626,4192159
2017-01-19,159.617584,160.086044,158.508606,159.474182,117.728653,7283716
2017-01-20,160.430206,163.135757,158.699814,163.049713,120.368240,13273740
2017-01-23,162.600388,163.718933,162.533463,163.508606,120.706993,5730197
2017-01-24,163.824097,168.260040,163.632889,168.164429,124.144096,7272210
2017-01-25,168.508606,171.367111,168.384323,170.449326,125.830841,6194935
2017-01-26,170.229446,171.013382,169.703629,170.803055,126.091988,3204839
2017-01-27,170.621414,171.319305,169.502869,169.502869,125.132141,3642486
2017-01-30,169.196945,169.282990,166.902481,168.068832,124.073486,4283161
2017-01-31,167.351822,167.858505,165.975143,166.845123,123.170128,4329394
2017-02-01,167.304016,167.973236,165.286804,166.625244,123.007797,2924302
2017-02-02,166.567871,167.275330,165.917786,166.902481,123.212463,2741043
2017-02-03,167.304016,168.585083,167.198853,168.087952,124.087608,3461528
2017-02-06,167.600388,168.240921,166.711288,168.126190,124.115860,2772737
2017-02-07,168.260040,170.764816,168.164429,170.611862,125.950851,4051681
2017-02-08,169.694077,169.694077,168.145309,168.422562,125.317749,3047103
2017-02-09,168.422562,169.980881,168.173996,169.416824,126.057541,3232872
2017-02-10,169.569794,171.003830,168.986618,170.822174,127.103195,3065512
2017-02-13,171.357559,171.988525,170.975143,171.472275,127.586945,3235696
2017-02-14,170.717010,172.208420,170.506699,172.208420,128.134674,2904219
